"Feature","Log2FC","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"PIK3R5",0.459,0.624,1.84,0.0689,0.49,"None","23533","phosphoinositide-3-kinase regulatory subunit 5","NS",1.16178077809237
"TBC1D29P",-0.674,-1.44,-1.84,0.0689,0.49,"None","26083","TBC1 domain family member 29, pseudogene","NS",1.16178077809237
"GNL3",-0.305,6.16,-1.84,0.0689,0.49,"None","26354","G protein nucleolar 3","NS",1.16178077809237
"GC",0.48,9.33,1.84,0.0689,0.49,"None","2638","GC vitamin D binding protein","NS",1.16178077809237
"CCDC85C",0.276,5.49,1.84,0.0689,0.49,"None","317762","coiled-coil domain containing 85C","NS",1.16178077809237
"YAP1",0.369,4.32,1.84,0.069,0.49,"Non-endocrine","10413","Yes associated protein 1","NS",1.16115090926274
"GLB1L3",0.614,1.12,1.84,0.069,0.49,"None","112937","galactosidase beta 1 like 3","NS",1.16115090926274
"GMPPA",-0.336,5.13,-1.84,0.069,0.49,"None","29926","GDP-mannose pyrophosphorylase A","NS",1.16115090926274
"CPXM1",-0.843,0.979,-1.84,0.069,0.49,"None","56265","carboxypeptidase X, M14 family member 1","NS",1.16115090926274
"FBXL13",0.323,0.43,1.84,0.0691,0.49,"None","222235","F-box and leucine rich repeat protein 13","NS",1.1605219526258
"TMED3",-0.318,7.49,-1.84,0.0691,0.49,"None","23423","transmembrane p24 trafficking protein 3","NS",1.1605219526258
"CPA4",0.709,1.93,1.84,0.0691,0.49,"Non-endocrine","51200","carboxypeptidase A4","NS",1.1605219526258
"SLC18A2",-0.755,6.62,-1.84,0.0691,0.49,"None","6571","solute carrier family 18 member A2","NS",1.1605219526258
"GGT6",0.668,3.14,1.84,0.0693,0.491,"Non-endocrine","124975","gamma-glutamyltransferase 6","NS",1.15926676538819
"CYP27C1",-0.569,-1.74,-1.84,0.0693,0.491,"None","339761","cytochrome P450 family 27 subfamily C member 1","NS",1.15926676538819
"COCH",0.817,1.44,1.84,0.0694,0.491,"None","1690","cochlin","NS",1.15864052954514
"DTNA",0.27,5.11,1.84,0.0694,0.491,"None","1837","dystrobrevin alpha","NS",1.15864052954514
"PPID",-0.254,5.14,-1.84,0.0694,0.491,"Endocrine","5481","peptidylprolyl isomerase D","NS",1.15864052954514
"DCAF4L1",-0.78,1.55,-1.84,0.0695,0.491,"None","285429","DDB1 and CUL4 associated factor 4 like 1","NS",1.15801519540989
"GUCA2B",-0.585,-1.85,-1.85,0.0695,0.491,"None","2981","guanylate cyclase activator 2B","NS",1.15801519540989
"SOST",-0.65,-1.78,-1.84,0.0695,0.491,"None","50964","sclerostin","NS",1.15801519540989
"SIGMAR1",0.275,4.09,1.84,0.0697,0.491,"None","10280","sigma non-opioid intracellular receptor 1","NS",1.15676722190199
"UHRF1",-0.774,-1.42,-1.84,0.0697,0.491,"None","29128","ubiquitin like with PHD and ring finger domains 1","NS",1.15676722190199
"PREP",0.244,4.09,1.84,0.0697,0.491,"Non-endocrine","5550","prolyl endopeptidase","NS",1.15676722190199
"CLIP2",0.244,5.54,1.84,0.0697,0.491,"None","7461","CAP-Gly domain containing linker protein 2","NS",1.15676722190199
"SYDE2",0.426,3.07,1.84,0.0697,0.491,"None","84144","synapse defective Rho GTPase homolog 2","NS",1.15676722190199
"AATK",0.284,5.21,1.84,0.0697,0.491,"None","9625","apoptosis associated tyrosine kinase","NS",1.15676722190199
"DTD2",0.253,2.39,1.83,0.0698,0.491,"None","112487","D-aminoacyl-tRNA deacylase 2","NS",1.15614457737684
"NSMCE4A",0.317,3.88,1.83,0.0698,0.491,"None","54780","NSE4 homolog A, SMC5-SMC6 complex component","NS",1.15614457737684
"RBM48",-0.297,3.36,-1.83,0.0698,0.491,"None","84060","RNA binding motif protein 48","NS",1.15614457737684
"CABLES1",-0.336,3.42,-1.83,0.0699,0.491,"None","91768","Cdk5 and Abl enzyme substrate 1","NS",1.15552282425432
"CACNG3",0.736,-2.65,1.91,0.0701,0.492,"None","10368","calcium voltage-gated channel auxiliary subunit gamma 3","NS",1.15428198203334
"CLUL1",0.592,0.457,1.83,0.0701,0.492,"None","27098","clusterin like 1","NS",1.15428198203334
"GPR171",-0.689,-2.15,-1.88,0.0701,0.492,"None","29909","G protein-coupled receptor 171","NS",1.15428198203334
"SPRR2A",-1.66,2.06,-1.84,0.0701,0.492,"None","6700","small proline rich protein 2A","NS",1.15428198203334
"KIAA0040",0.312,5.54,1.83,0.0701,0.492,"Non-endocrine","9674","KIAA0040","NS",1.15428198203334
"C1orf127",-0.505,6.93,-1.83,0.0702,0.492,"Endocrine","148345","chromosome 1 open reading frame 127","NS",1.15366288787019
"ABCG2",0.673,0.594,1.83,0.0702,0.492,"None","9429","ATP binding cassette subfamily G member 2 (Junior blood group)","NS",1.15366288787019
"AMY1A",-1.17,-2.09,-1.88,0.0703,0.492,"None","276","amylase alpha 1A","NS",1.15304467498018
"CAGE1",-0.547,-1.85,-1.83,0.0703,0.492,"None","285782","cancer antigen 1","NS",1.15304467498018
"IMPG2",-0.544,0.719,-1.83,0.0703,0.492,"None","50939","interphotoreceptor matrix proteoglycan 2","NS",1.15304467498018
"CHRNE",0.456,0.455,1.83,0.0704,0.492,"None","1145","cholinergic receptor nicotinic epsilon subunit","NS",1.15242734085789
"B3GALNT2",0.314,4.61,1.83,0.0705,0.492,"None","148789","beta-1,3-N-acetylgalactosaminyltransferase 2","NS",1.1518108830086
"RHOD",0.44,2.77,1.83,0.0705,0.492,"Non-endocrine","29984","ras homolog family member D","NS",1.1518108830086
"GALNT18",0.355,2.82,1.83,0.0705,0.492,"None","374378","polypeptide N-acetylgalactosaminyltransferase 18","NS",1.1518108830086
"KCNN3",0.473,2.51,1.83,0.0705,0.492,"None","3782","potassium calcium-activated channel subfamily N member 3","NS",1.1518108830086
"ICAM5",-0.717,-0.775,-1.83,0.0705,0.492,"None","7087","intercellular adhesion molecule 5","NS",1.1518108830086
"TTC29",-0.662,-2.42,-1.86,0.0705,0.492,"None","83894","tetratricopeptide repeat domain 29","NS",1.1518108830086
"SEPTIN6",0.31,3.71,1.83,0.0706,0.492,"None","23157","septin 6","NS",1.1511952989482
"LDLRAP1",-0.316,7.09,-1.83,0.0706,0.492,"None","26119","low density lipoprotein receptor adaptor protein 1","NS",1.1511952989482
"SHMT1",0.465,2.1,1.83,0.0707,0.492,"Non-endocrine","6470","serine hydroxymethyltransferase 1","NS",1.1505805862031
"GID4",0.325,3.05,1.83,0.0707,0.492,"None","79018","GID complex subunit 4 homolog","NS",1.1505805862031
"SBK1",0.363,1.31,1.83,0.0708,0.492,"None","388228","SH3 domain binding kinase 1","NS",1.14996674231023
"CLPS",0.993,11,1.83,0.0709,0.492,"Non-endocrine","1208","colipase","NS",1.14935376481693
"RASL10B",0.445,1.79,1.83,0.0709,0.492,"Non-endocrine","91608","RAS like family 10 member B","NS",1.14935376481693
"SERHL2",0.577,-0.126,1.83,0.071,0.492,"None","253190","serine hydrolase like 2","NS",1.14874165128092
"KRT10",-0.335,5.21,-1.83,0.071,0.492,"None","3858","keratin 10","NS",1.14874165128092
"COX17",-0.306,5.3,-1.83,0.0711,0.492,"None","10063","cytochrome c oxidase copper chaperone COX17","NS",1.14813039927023
"CSPG5",-0.493,0.14,-1.83,0.0711,0.492,"None","10675","chondroitin sulfate proteoglycan 5","NS",1.14813039927023
"FAM171A2",-0.352,3.75,-1.83,0.0711,0.492,"Endocrine","284069","family with sequence similarity 171 member A2","NS",1.14813039927023
"MATN2",0.382,4.47,1.83,0.0711,0.492,"None","4147","matrilin 2","NS",1.14813039927023
"C12orf57",-0.328,5.79,-1.83,0.0712,0.492,"None","113246","chromosome 12 open reading frame 57","NS",1.14752000636314
"ZNF513",-0.296,5.15,-1.83,0.0712,0.492,"None","130557","zinc finger protein 513","NS",1.14752000636314
"FAM135B",0.382,4.33,1.83,0.0712,0.492,"None","51059","family with sequence similarity 135 member B","NS",1.14752000636314
"KCNK17",0.56,4.63,1.83,0.0712,0.492,"None","89822","potassium two pore domain channel subfamily K member 17","NS",1.14752000636314
"SERPING1",0.418,6.75,1.82,0.0713,0.493,"Non-endocrine","710","serpin family G member 1","NS",1.14691047014813
"SOAT2",-0.699,-1.74,-1.83,0.0713,0.493,"None","8435","sterol O-acyltransferase 2","NS",1.14691047014813
"ZNF485",0.54,-0.093,1.82,0.0715,0.493,"None","220992","zinc finger protein 485","NS",1.14569395819892
"ADAM21",-0.541,-2.38,-1.84,0.0715,0.493,"None","8747","ADAM metallopeptidase domain 21","NS",1.14569395819892
"ACAP3",-0.247,6.61,-1.82,0.0716,0.493,"None","116983","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","NS",1.14508697769214
"TPM4",0.296,7.83,1.82,0.0716,0.493,"None","7171","tropomyosin 4","NS",1.14508697769214
"TRPM2",-0.524,2.17,-1.82,0.0716,0.493,"None","7226","transient receptor potential cation channel subfamily M member 2","NS",1.14508697769214
"MYL6B",-0.322,4.79,-1.82,0.0717,0.493,"None","140465","myosin light chain 6B","NS",1.1444808443322
"TRDMT1",0.316,2.36,1.82,0.0717,0.493,"None","1787","tRNA aspartic acid methyltransferase 1","NS",1.1444808443322
"THRA",-0.246,6.9,-1.82,0.0717,0.493,"None","7067","thyroid hormone receptor alpha","NS",1.1444808443322
"CENPBD1",-0.261,3.5,-1.82,0.0717,0.493,"None","92806","CENPB DNA-binding domain containing 1","NS",1.1444808443322
"MICAL2",0.429,4.26,1.82,0.0718,0.493,"Non-endocrine","9645","microtubule associated monooxygenase, calponin and LIM domain containing 2","NS",1.1438755557577
"SMC4",0.349,3.91,1.82,0.0719,0.494,"None","10051","structural maintenance of chromosomes 4","NS",1.14327110961712
"EEF1B2",0.39,8.05,1.82,0.0719,0.494,"None","1933","eukaryotic translation elongation factor 1 beta 2","NS",1.14327110961712
"SIRT7",-0.269,4.37,-1.82,0.072,0.494,"None","51547","sirtuin 7","NS",1.14266750356873
"TCP11",-0.9,-2.02,-1.83,0.072,0.494,"None","6954","t-complex 11","NS",1.14266750356873
"DCN",0.401,6.56,1.82,0.0721,0.494,"None","1634","decorin","NS",1.14206473528057
"CASP8",0.323,2.3,1.82,0.0721,0.494,"None","841","caspase 8","NS",1.14206473528057
"WNT3A",-0.641,-2.09,-1.86,0.0721,0.494,"None","89780","Wnt family member 3A","NS",1.14206473528057
"TMEM130",-0.459,4.15,-1.82,0.0722,0.494,"None","222865","transmembrane protein 130","NS",1.14146280243036
"CENPM",-0.773,-1.57,-1.82,0.0722,0.494,"None","79019","centromere protein M","NS",1.14146280243036
"SLC25A29",-0.296,5.35,-1.82,0.0723,0.494,"None","123096","solute carrier family 25 member 29","NS",1.14086170270547
"CLVS2",-0.703,0.976,-1.82,0.0723,0.494,"None","134829","clavesin 2","NS",1.14086170270547
"TCHH",-0.498,2.01,-1.82,0.0723,0.494,"Endocrine","7062","trichohyalin","NS",1.14086170270547
"PPP1R14B",0.351,5.48,1.82,0.0724,0.494,"None","26472","protein phosphatase 1 regulatory inhibitor subunit 14B","NS",1.14026143380285
"AQP1",0.581,6.49,1.82,0.0724,0.494,"Non-endocrine","358","aquaporin 1 (Colton blood group)","NS",1.14026143380285
"CENPU",-0.592,0.767,-1.82,0.0724,0.494,"None","79682","centromere protein U","NS",1.14026143380285
"SCN4B",0.432,3.08,1.82,0.0725,0.494,"None","6330","sodium voltage-gated channel beta subunit 4","NS",1.13966199342901
"PLEKHG2",0.51,4.72,1.82,0.0725,0.494,"None","64857","pleckstrin homology and RhoGEF domain containing G2","NS",1.13966199342901
"RBFOX1",0.612,-1.56,1.82,0.0726,0.495,"None","54715","RNA binding fox-1 homolog 1","NS",1.13906337929991
"NOTCH1",0.419,4.44,1.81,0.0728,0.496,"None","4851","notch receptor 1","NS",1.13786862068696
"RAMP3",0.664,2.56,1.81,0.0729,0.496,"None","10268","receptor activity modifying protein 3","NS",1.13727247168203
"CETN2",-0.286,5.43,-1.81,0.0729,0.496,"None","1069","centrin 2","NS",1.13727247168203
"EFHD1",-0.354,2.34,-1.81,0.0729,0.496,"None","80303","EF-hand domain family member D1","NS",1.13727247168203
"HCP5",0.561,1.62,1.81,0.073,0.496,"None","10866","HLA complex P5","NS",1.13667713987954
"TMEM184A",-0.306,5.33,-1.81,0.073,0.496,"None","202915","transmembrane protein 184A","NS",1.13667713987954
"FBXO2",0.311,4.97,1.81,0.0731,0.496,"None","26232","F-box protein 2","NS",1.13608262304214
"ACKR3",0.584,2.81,1.81,0.0731,0.496,"Non-endocrine","57007","atypical chemokine receptor 3","NS",1.13608262304214
"APOD",0.583,4.5,1.81,0.0732,0.496,"None","347","apolipoprotein D","NS",1.13548891894161
"LCAT",0.404,1.51,1.81,0.0732,0.496,"None","3931","lecithin-cholesterol acyltransferase","NS",1.13548891894161
"SRGAP3",-0.42,3.26,-1.81,0.0732,0.496,"None","9901","SLIT-ROBO Rho GTPase activating protein 3","NS",1.13548891894161
"MAB21L3",-0.716,-1.33,-1.81,0.0734,0.497,"None","126868","mab-21 like 3","NS",1.13430394008393
"TNFRSF1B",0.558,1.73,1.81,0.0734,0.497,"None","7133","TNF receptor superfamily member 1B","NS",1.13430394008393
"CTRB1",0.847,11.1,1.81,0.0736,0.498,"Non-endocrine","1504","chymotrypsinogen B1","NS",1.1331221856625
"ARVCF",-0.305,7.21,-1.81,0.0736,0.498,"Endocrine","421","ARVCF delta catenin family member","NS",1.1331221856625
"PRLH",-0.712,-2.46,-1.84,0.0736,0.498,"None","51052","prolactin releasing hormone","NS",1.1331221856625
"ARFGEF3",0.307,8.39,1.81,0.0737,0.498,"None","57221","ARFGEF family member 3","NS",1.13253251214095
"TEX29",-0.735,-1.14,-1.81,0.0738,0.499,"None","121793","testis expressed 29","NS",1.13194363817696
"TSKU",0.39,3.05,1.81,0.0738,0.498,"Non-endocrine","25987","tsukushi, small leucine rich proteoglycan","NS",1.13194363817696
"MIR337",0.773,-2.45,1.84,0.0741,0.5,"None","442905","microRNA 337","NS",1.13018179202067
"TTC38",0.228,4.58,1.81,0.0741,0.5,"None","55020","tetratricopeptide repeat domain 38","NS",1.13018179202067
"METTL24",0.417,0.142,1.81,0.0743,0.501,"None","728464","methyltransferase like 24","NS",1.12901118623942
"C11orf98",-0.653,-2.54,-1.84,0.0745,0.502,"None","102288414","chromosome 11 open reading frame 98","NS",1.12784372725171
"CCNJL",0.495,-1.07,1.81,0.0745,0.502,"None","79616","cyclin J like","NS",1.12784372725171
"GCOM1",0.776,1.61,1.8,0.0746,0.502,"None","145781","GRINL1A complex locus 1","NS",1.12726117252733
"KCNE5",-0.957,-2.28,-1.83,0.0746,0.502,"None","23630","potassium voltage-gated channel subfamily E regulatory subunit 5","NS",1.12726117252733
"RELN",0.672,-0.265,1.8,0.0746,0.502,"None","5649","reelin","NS",1.12726117252733
"CCDC102A",0.405,1.07,1.8,0.0746,0.502,"Non-endocrine","92922","coiled-coil domain containing 102A","NS",1.12726117252733
"CYP19A1",0.522,-1.71,1.81,0.0747,0.502,"None","1588","cytochrome P450 family 19 subfamily A member 1","NS",1.1266793981846
"SERTAD1",0.384,4.62,1.8,0.0747,0.502,"None","29950","SERTA domain containing 1","NS",1.1266793981846
"FAM53C",0.267,6.26,1.8,0.0747,0.502,"None","51307","family with sequence similarity 53 member C","NS",1.1266793981846
"SH3YL1",0.275,6.41,1.8,0.0748,0.502,"Non-endocrine","26751","SH3 and SYLF domain containing 1","NS",1.12609840213554
"XYLB",0.45,1,1.8,0.0748,0.502,"None","9942","xylulokinase","NS",1.12609840213554
"PLCG2",0.431,2.5,1.8,0.075,0.502,"None","5336","phospholipase C gamma 2","NS",1.1249387366083
"LGR4",0.369,6.12,1.8,0.075,0.502,"None","55366","leucine rich repeat containing G protein-coupled receptor 4","NS",1.1249387366083
"HAMP",1.22,0.375,1.8,0.075,0.502,"None","57817","hepcidin antimicrobial peptide","NS",1.1249387366083
"MVB12B",0.29,2.98,1.8,0.075,0.502,"None","89853","multivesicular body subunit 12B","NS",1.1249387366083
"METRNL",0.467,2.72,1.8,0.0752,0.503,"Non-endocrine","284207","meteorin like, glial cell differentiation regulator","NS",1.12378215940836
"PPP4R4",0.392,3.79,1.8,0.0752,0.503,"None","57718","protein phosphatase 4 regulatory subunit 4","NS",1.12378215940836
"SIM2",-0.629,-1.94,-1.8,0.0752,0.503,"None","6493","SIM bHLH transcription factor 2","NS",1.12378215940836
"ABHD12B",-0.542,-2.3,-1.81,0.0754,0.503,"None","145447","abhydrolase domain containing 12B","NS",1.12262865413023
"CNTLN",0.315,2.72,1.8,0.0754,0.503,"None","54875","centlein","NS",1.12262865413023
"TDRD3",0.305,4.12,1.8,0.0754,0.503,"None","81550","tudor domain containing 3","NS",1.12262865413023
"MIPEP",0.244,3.25,1.8,0.0755,0.504,"None","4285","mitochondrial intermediate peptidase","NS",1.12205304837081
"DLGAP2",0.52,-1.62,1.8,0.0756,0.505,"None","9228","DLG associated protein 2","NS",1.12147820449879
"C9",-0.689,-1.93,-1.8,0.0757,0.505,"None","735","complement C9","NS",1.12090412049993
"NAA80",0.307,2.34,1.8,0.0758,0.505,"None","24142","N-alpha-acetyltransferase 80, NatH catalytic subunit","NS",1.12033079436795
"SMO",0.419,1.86,1.8,0.0758,0.505,"Non-endocrine","6608","smoothened, frizzled class receptor","NS",1.12033079436795
"TATDN1",0.295,4.2,1.8,0.0758,0.505,"None","83940","TatD DNase domain containing 1","NS",1.12033079436795
"IL1RL1",-0.629,2.71,-1.8,0.0758,0.505,"None","9173","interleukin 1 receptor like 1","NS",1.12033079436795
"ANKS4B",0.608,-0.495,1.8,0.076,0.505,"None","257629","ankyrin repeat and sterile alpha motif domain containing 4B","NS",1.11918640771921
"AVPR1B",0.719,1.54,1.79,0.076,0.505,"None","553","arginine vasopressin receptor 1B","NS",1.11918640771921
"SLC37A4",-0.441,6.94,-1.79,0.0761,0.505,"None","2542","solute carrier family 37 member 4","NS",1.11861534322943
"RYR2",0.498,3.28,1.79,0.0761,0.506,"None","6262","ryanodine receptor 2","NS",1.11861534322943
"CCDC155",0.706,-1.14,1.8,0.0762,0.506,"None","147872","coiled-coil domain containing 155","NS",1.1180450286604
"C4orf54",0.593,-2.11,1.82,0.0765,0.508,"None","285556","chromosome 4 open reading frame 54","NS",1.11633856484638
"RTN1",-0.34,6.82,-1.79,0.0766,0.508,"None","6252","reticulon 1","NS",1.1157712303674
"IFI30",0.535,-1.13,1.79,0.0767,0.509,"None","10437","IFI30 lysosomal thiol reductase","NS",1.11520463605102
"AANAT",-0.44,-1.87,-1.79,0.0769,0.509,"None","15","aralkylamine N-acetyltransferase","NS",1.11407366019857
"SLC66A1L",0.53,-0.96,1.79,0.0769,0.509,"None","152078","solute carrier family 66 member 1 like","NS",1.11407366019857
"PLAAT4",0.515,1.61,1.79,0.077,0.509,"None","5920","phospholipase A and acyltransferase 4","NS",1.11350927482752
"HOMER2",0.395,6.37,1.79,0.077,0.509,"Non-endocrine","9455","homer scaffold protein 2","NS",1.11350927482752
"LEAP2",0.519,-0.371,1.79,0.0771,0.509,"None","116842","liver enriched antimicrobial peptide 2","NS",1.11294562194904
"CRMP1",-0.283,6.83,-1.79,0.0771,0.509,"Endocrine","1400","collapsin response mediator protein 1","NS",1.11294562194904
"CKAP2",-0.391,3.01,-1.79,0.0771,0.509,"None","26586","cytoskeleton associated protein 2","NS",1.11294562194904
"ID3",0.691,3.78,1.79,0.0771,0.509,"Non-endocrine","3399","inhibitor of DNA binding 3, HLH protein","NS",1.11294562194904
"MT-ND1",-0.279,12.8,-1.79,0.0771,0.509,"None","4535","mitochondrially encoded NADH dehydrogenase 1","NS",1.11294562194904
"POU5F1",0.599,1.78,1.79,0.0771,0.509,"None","5460","POU class 5 homeobox 1","NS",1.11294562194904
"PLXDC2",0.398,3.94,1.79,0.0771,0.509,"None","84898","plexin domain containing 2","NS",1.11294562194904
"ISM1",0.591,-0.089,1.79,0.0772,0.509,"None","140862","isthmin 1","NS",1.11238269966426
"CCNYL1",0.303,4.1,1.79,0.0773,0.51,"None","151195","cyclin Y like 1","NS",1.11182050608168
"TAGLN",-0.359,5.46,-1.79,0.0774,0.51,"None","6876","transgelin","NS",1.11125903931711
"CSRP1",0.242,7.58,1.78,0.0776,0.511,"None","1465","cysteine and glycine rich protein 1","NS",1.11013827874181
"ANKRD34C",-0.466,2.67,-1.78,0.0776,0.511,"None","390616","ankyrin repeat domain 34C","NS",1.11013827874181
"PAQR5",0.656,1.71,1.78,0.0776,0.511,"Non-endocrine","54852","progestin and adipoQ receptor family member 5","NS",1.11013827874181
"CXCR5",0.581,-2.12,1.8,0.0777,0.511,"None","643","C-X-C motif chemokine receptor 5","NS",1.10957898119909
"GRIN2C",-0.58,-1.07,-1.78,0.0778,0.511,"None","2905","glutamate ionotropic receptor NMDA type subunit 2C","NS",1.10902040301031
"RERG",0.502,2.14,1.78,0.0778,0.511,"None","85004","RAS like estrogen regulated growth inhibitor","NS",1.10902040301031
"LOC107985433",-0.746,0.0331,-1.78,0.0779,0.512,"None","107985433","putative uncharacterized protein LOC401522","NS",1.10846254232744
"DNAJC27",0.288,4.32,1.78,0.078,0.512,"None","51277","DnaJ heat shock protein family (Hsp40) member C27","NS",1.10790539730952
"SPDYE3",0.482,-2.41,1.79,0.0781,0.512,"None","441272","speedy/RINGO cell cycle regulator family member E3","NS",1.1073489661227
"VSIG8",-0.756,-2,-1.79,0.0783,0.513,"None","391123","V-set and immunoglobulin domain containing 8","NS",1.10623823794206
"NOX4",-0.562,-1.59,-1.78,0.0784,0.513,"None","50507","NADPH oxidase 4","NS",1.10568393731556
"RPL10",0.348,9.94,1.78,0.0784,0.513,"Non-endocrine","6134","ribosomal protein L10","NS",1.10568393731556
"ZHX2",0.259,4.76,1.78,0.0785,0.513,"None","22882","zinc fingers and homeoboxes 2","NS",1.10513034325475
"HABP4",-0.262,5.25,-1.78,0.0785,0.513,"None","22927","hyaluronan binding protein 4","NS",1.10513034325475
"C11orf94",-0.492,-1.84,-1.78,0.0786,0.513,"None","143678","chromosome 11 open reading frame 94","NS",1.10457745396059
"GPR31",0.639,-2.13,1.81,0.0786,0.513,"None","2853","G protein-coupled receptor 31","NS",1.10457745396059
"CRB2",-0.749,-0.852,-1.78,0.0786,0.513,"None","286204","crumbs cell polarity complex component 2","NS",1.10457745396059
"HCK",0.597,-0.814,1.78,0.0786,0.513,"Non-endocrine","3055","HCK proto-oncogene, Src family tyrosine kinase","NS",1.10457745396059
"SIAE",0.26,4.72,1.78,0.0786,0.513,"None","54414","sialic acid acetylesterase","NS",1.10457745396059
"OXR1",0.294,4.39,1.78,0.0787,0.513,"None","55074","oxidation resistance 1","NS",1.10402526764094
"AS3MT",-0.403,-2.49,-1.79,0.0787,0.513,"None","57412","arsenite methyltransferase","NS",1.10402526764094
"MAP7D3",0.271,2.73,1.78,0.0787,0.513,"Non-endocrine","79649","MAP7 domain containing 3","NS",1.10402526764094
"C1QL1",-0.523,6.7,-1.78,0.0788,0.513,"None","10882","complement C1q like 1","NS",1.10347378251044
"SACS",0.499,4.26,1.78,0.0788,0.513,"None","26278","sacsin molecular chaperone","NS",1.10347378251044
"QKI",0.253,5.36,1.78,0.0788,0.513,"None","9444","QKI, KH domain containing RNA binding","NS",1.10347378251044
"RBP1",0.379,6.42,1.78,0.0789,0.514,"Non-endocrine","5947","retinol binding protein 1","NS",1.10292299679058
"HHIP",0.877,-0.33,1.78,0.0789,0.513,"Non-endocrine","64399","hedgehog interacting protein","NS",1.10292299679058
"MMP21",0.498,-0.748,1.78,0.079,0.514,"None","118856","matrix metallopeptidase 21","NS",1.10237290870956
"CUX2",0.655,-1.8,1.78,0.079,0.514,"None","23316","cut like homeobox 2","NS",1.10237290870956
"CBLN3",-0.358,0.576,-1.78,0.079,0.514,"None","643866","cerebellin 3 precursor","NS",1.10237290870956
"GALNT6",0.5,1.89,1.78,0.0791,0.514,"Non-endocrine","11226","polypeptide N-acetylgalactosaminyltransferase 6","NS",1.10182351650232
"MBOAT4",0.562,2.41,1.78,0.0791,0.514,"None","619373","membrane bound O-acyltransferase domain containing 4","NS",1.10182351650232
"PROX2",-0.733,-1.75,-1.78,0.0792,0.514,"None","283571","prospero homeobox 2","NS",1.10127481841051
"SLITRK6",0.876,-0.273,1.78,0.0792,0.514,"None","84189","SLIT and NTRK like family member 6","NS",1.10127481841051
"CYP4F8",-0.792,-2.09,-1.83,0.0794,0.514,"None","11283","cytochrome P450 family 4 subfamily F member 8","NS",1.1001794975729
"MYEOV",0.629,-1.04,1.78,0.0794,0.514,"None","26579","myeloma overexpressed","NS",1.1001794975729
"RHBDL1",-0.369,2.36,-1.77,0.0794,0.514,"None","9028","rhomboid like 1","NS",1.1001794975729
"SH3PXD2B",0.313,4.53,1.77,0.0795,0.514,"None","285590","SH3 and PX domains 2B","NS",1.09963287134353
"H2AC20",0.435,-0.129,1.77,0.0795,0.514,"None","8338","H2A clustered histone 20","NS",1.09963287134353
"EGF",1.06,2.31,1.77,0.0796,0.514,"Non-endocrine","1950","epidermal growth factor","NS",1.09908693226233
"ARG1",-0.962,2.2,-1.77,0.0796,0.514,"None","383","arginase 1","NS",1.09908693226233
"PLA2G1B",0.897,10.2,1.77,0.0796,0.514,"Non-endocrine","5319","phospholipase A2 group IB","NS",1.09908693226233
"GMNN",0.548,3.3,1.77,0.0797,0.515,"Non-endocrine","51053","geminin DNA replication inhibitor","NS",1.09854167860389
"MAP6",-0.263,6.04,-1.77,0.0798,0.515,"Endocrine","4135","microtubule associated protein 6","NS",1.09799710864927
"AQP12B",0.904,2.95,1.77,0.0798,0.515,"Non-endocrine","653437","aquaporin 12B","NS",1.09799710864927
"SLC18A1",0.611,-2.57,1.82,0.0798,0.515,"None","6570","solute carrier family 18 member A1","NS",1.09799710864927
"NRG1",-0.38,2.66,-1.77,0.08,0.516,"Endocrine","3084","neuregulin 1","NS",1.09691001300806
"TEAD3",0.363,2.67,1.77,0.08,0.516,"Non-endocrine","7005","TEA domain transcription factor 3","NS",1.09691001300806
"MRVI1",0.651,1.19,1.77,0.0801,0.516,"None","10335","murine retrovirus integration site 1 homolog","NS",1.09636748391576
"MR1",0.272,4.77,1.77,0.0801,0.516,"None","3140","major histocompatibility complex, class I-related","NS",1.09636748391576
"CCL11",-0.857,2.7,-1.77,0.0802,0.516,"None","6356","C-C motif chemokine ligand 11","NS",1.09582563171584
"CD96",-0.523,-1.64,-1.77,0.0803,0.516,"None","10225","CD96 molecule","NS",1.09528445472132
"AGPAT2",0.316,5.48,1.77,0.0803,0.516,"None","10555","1-acylglycerol-3-phosphate O-acyltransferase 2","NS",1.09528445472132
"GPR83",-0.534,-1.58,-1.77,0.0803,0.516,"None","10888","G protein-coupled receptor 83","NS",1.09528445472132
"ANGPT4",0.698,-1.54,1.77,0.0803,0.516,"None","51378","angiopoietin 4","NS",1.09528445472132
"ADD3",0.366,5.4,1.77,0.0804,0.516,"None","120","adducin 3","NS",1.09474395125155
"FANCE",0.465,1.05,1.77,0.0804,0.516,"None","2178","FA complementation group E","NS",1.09474395125155
"SKA3",-0.674,-1.53,-1.77,0.0804,0.516,"None","221150","spindle and kinetochore associated complex subunit 3","NS",1.09474395125155
"MRO",-0.635,2.46,-1.77,0.0804,0.516,"None","83876","maestro","NS",1.09474395125155
"RPS6KA3",0.341,7.09,1.77,0.0805,0.516,"None","6197","ribosomal protein S6 kinase A3","NS",1.09420411963213
"PCSK9",-0.502,3.43,-1.77,0.0806,0.516,"None","255738","proprotein convertase subtilisin/kexin type 9","NS",1.09366495819491
"TMEM220",0.233,3.39,1.77,0.0806,0.516,"None","388335","transmembrane protein 220","NS",1.09366495819491
